image,class
P01_music01_frame000.jpg,01
P01_music01_frame001.jpg,01
P01_music01_frame002.jpg,01
P01_music01_frame003.jpg,01
P01_music01_frame004.jpg,01
P01_music01_frame005.jpg,01
P01_music01_frame006.jpg,01
P01_music01_frame007.jpg,01
P01_music01_frame008.jpg,01
P01_music01_frame009.jpg,01
P01_music01_frame010.jpg,01
P01_music01_frame011.jpg,01
P01_music01_frame012.jpg,01
P01_music01_frame013.jpg,01
P01_music01_frame014.jpg,01
P01_music01_frame015.jpg,01
P01_music01_frame016.jpg,01
P01_music01_frame017.jpg,01
P01_music01_frame018.jpg,01
P01_music01_frame019.jpg,01
P01_music01_frame020.jpg,01
P01_music01_frame021.jpg,01
P01_music01_frame022.jpg,01
P01_music01_frame023.jpg,01
P01_music01_frame024.jpg,01
P01_music01_frame025.jpg,01
P01_music01_frame026.jpg,01
P01_music01_frame027.jpg,01
P01_music01_frame028.jpg,01
P01_music01_frame029.jpg,01
P01_music01_frame030.jpg,01
P01_music01_frame031.jpg,01
P01_music01_frame032.jpg,01
P01_music01_frame033.jpg,01
P01_music01_frame034.jpg,01
P01_music01_frame035.jpg,01
P01_music01_frame036.jpg,01
P01_music01_frame037.jpg,01
P01_music01_frame038.jpg,01
P01_music01_frame039.jpg,01
P01_music01_frame040.jpg,01
P01_music01_frame041.jpg,01
P01_music01_frame042.jpg,01
P01_music01_frame043.jpg,01
P01_music01_frame044.jpg,01
P01_music01_frame045.jpg,01
P01_music01_frame046.jpg,01
P01_music01_frame047.jpg,01
P01_music01_frame048.jpg,01
P01_music01_frame049.jpg,01
P01_music01_frame050.jpg,01
P01_music01_frame051.jpg,01
P01_music01_frame052.jpg,01
P01_music01_frame053.jpg,01
P01_music01_frame054.jpg,01
P01_music01_frame055.jpg,01
P01_music01_frame056.jpg,01
P01_music01_frame057.jpg,01
P01_music01_frame058.jpg,01
P01_music01_frame059.jpg,01
P01_music01_frame060.jpg,01
P01_music01_frame061.jpg,01
P01_music01_frame062.jpg,01
P01_music01_frame063.jpg,01
P01_music01_frame064.jpg,01
P01_music01_frame065.jpg,01
P01_music01_frame066.jpg,01
P01_music01_frame067.jpg,01
P01_music01_frame068.jpg,01
P01_music01_frame069.jpg,01
P01_music01_frame070.jpg,01
P01_music01_frame071.jpg,01
P01_music01_frame072.jpg,01
P01_music01_frame073.jpg,01
P01_music01_frame074.jpg,01
P01_music01_frame075.jpg,01
P01_music01_frame076.jpg,01
P01_music01_frame077.jpg,01
P01_music01_frame078.jpg,01
P01_music01_frame079.jpg,01
P01_music01_frame080.jpg,01
P01_music01_frame081.jpg,01
P01_music01_frame082.jpg,01
P01_music01_frame083.jpg,01
P01_music01_frame084.jpg,01
P01_music01_frame085.jpg,01
P01_music01_frame086.jpg,01
P01_music01_frame087.jpg,01
P01_music01_frame088.jpg,01
P01_music01_frame089.jpg,01
P01_music01_frame090.jpg,01
P01_music01_frame091.jpg,01
P01_music01_frame092.jpg,01
P01_music01_frame093.jpg,01
P01_music01_frame094.jpg,01
P01_music01_frame095.jpg,01
P01_music02_frame000.jpg,02
P01_music02_frame001.jpg,02
P01_music02_frame002.jpg,02
P01_music02_frame003.jpg,02
P01_music02_frame004.jpg,02
P01_music02_frame005.jpg,02
P01_music02_frame006.jpg,02
P01_music02_frame007.jpg,02
P01_music02_frame008.jpg,02
P01_music02_frame009.jpg,02
P01_music02_frame010.jpg,02
P01_music02_frame011.jpg,02
P01_music02_frame012.jpg,02
P01_music02_frame013.jpg,02
P01_music02_frame014.jpg,02
P01_music02_frame015.jpg,02
P01_music02_frame016.jpg,02
P01_music02_frame017.jpg,02
P01_music02_frame018.jpg,02
P01_music02_frame019.jpg,02
P01_music02_frame020.jpg,02
P01_music02_frame021.jpg,02
